Run	Parameter	Units	Tunnel 1	Tunnel 2	Tunnel 3	Tunnel 4	Tunnel 5	Tunnel 6	Sum	Average
145930	chamber_angular_vel	degrees/s	33.09608	165.90790	149.98195	nan	92.83932	170.69158	n/a	132.10668
145930	chamber_dist	mm	117.71133	610.02953	492.68710	0.00000	344.69421	574.77379	2139.89596	356.64933
145930	chamber_time	s	89.80000	106.26670	101.20000	0.00000	85.53330	111.80000	494.60000	82.43333
145930	chamber_vel	mm/s	1.96932	8.29623	6.51824	nan	6.61641	6.73093	n/a	6.11975
145930	tunnel_angular_vel	degrees/s	116.70718	138.97393	164.06957	63.83301	73.01851	73.98970	n/a	89.78132
145930	tunnel_dist	mm	870.35852	493.72054	609.09836	914.49878	910.38992	643.21302	4441.27913	740.21319
145930	tunnel_time	s	75.06670	34.13330	40.13330	214.00000	69.19990	86.46680	519.00000	86.50000
145930	tunnel_vel	mm/s	12.85016	14.11423	15.26618	5.69146	12.80408	7.64245	n/a	9.58498
154330	chamber_angular_vel	degrees/s	33.09608	165.90790	149.98195	nan	92.83932	170.69158	n/a	132.10668
154330	chamber_dist	mm	117.71133	610.02953	492.68710	0.00000	344.69421	574.77379	2139.89596	356.64933
154330	chamber_time	s	89.80000	106.26670	101.20000	0.00000	85.53330	111.80000	494.60000	82.43333
154330	chamber_vel	mm/s	1.96932	8.29623	6.51824	nan	6.61641	6.73093	n/a	6.11975
154330	tunnel_angular_vel	degrees/s	116.70718	138.97393	164.06957	63.83301	73.01851	73.98970	n/a	89.78132
154330	tunnel_dist	mm	870.35852	493.72054	609.09836	914.49878	910.38992	643.21302	4441.27913	740.21319
154330	tunnel_time	s	75.06670	34.13330	40.13330	214.00000	69.19990	86.46680	519.00000	86.50000
154330	tunnel_vel	mm/s	12.85016	14.11423	15.26618	5.69146	12.80408	7.64245	n/a	9.58498
161330	chamber_angular_vel	degrees/s	33.09608	165.90790	149.98195	nan	92.83932	170.69158	n/a	132.10668
161330	chamber_dist	mm	117.71133	610.02953	492.68710	0.00000	344.69421	574.77379	2139.89596	356.64933
161330	chamber_time	s	89.80000	106.26670	101.20000	0.00000	85.53330	111.80000	494.60000	82.43333
161330	chamber_vel	mm/s	1.96932	8.29623	6.51824	nan	6.61641	6.73093	n/a	6.11975
161330	tunnel_angular_vel	degrees/s	116.70718	138.97393	164.06957	63.83301	73.01851	73.98970	n/a	89.78132
161330	tunnel_dist	mm	870.35852	493.72054	609.09836	914.49878	910.38992	643.21302	4441.27913	740.21319
161330	tunnel_time	s	75.06670	34.13330	40.13330	214.00000	69.19990	86.46680	519.00000	86.50000
161330	tunnel_vel	mm/s	12.85016	14.11423	15.26618	5.69146	12.80408	7.64245	n/a	9.58498
181010	chamber_angular_vel	degrees/s	33.09608	165.90790	149.98195	nan	92.83932	170.69158	n/a	132.10668
181010	chamber_dist	mm	117.71133	610.02953	492.68710	0.00000	344.69421	574.77379	2139.89596	356.64933
181010	chamber_time	s	89.80000	106.26670	101.20000	0.00000	85.53330	111.80000	494.60000	82.43333
181010	chamber_vel	mm/s	1.96932	8.29623	6.51824	nan	6.61641	6.73093	n/a	6.11975
181010	tunnel_angular_vel	degrees/s	116.70718	138.97393	164.06957	63.83301	73.01851	73.98970	n/a	89.78132
181010	tunnel_dist	mm	870.35852	493.72054	609.09836	914.49878	910.38992	643.21302	4441.27913	740.21319
181010	tunnel_time	s	75.06670	34.13330	40.13330	214.00000	69.19990	86.46680	519.00000	86.50000
181010	tunnel_vel	mm/s	12.85016	14.11423	15.26618	5.69146	12.80408	7.64245	n/a	9.58498
